id,sector,category,brand,product_or_line,common_use,made_in_canada_claim,manufacturing_location,ownership_note,origin_caveat,tariff_relevance,candidate_hs_heading,evidence_quote,official_source_url,secondary_source_url,verification_date,confidence
224,"Steel, aluminum and fabricated metal goods",Steel processing,Nova Steel,Processed and tubular steel products,Tube and processed steel (B2B),processor of hot-rolled carbon steel in Montréal,"Montréal, Québec","Ownership statement on official page: ""Cresswell, a Nova company"" (ownership category not further verified)","Some operations and products are located outside Canada, including Mexico and Delta, Ohio.","Replaces U.S.-origin steel tubes, pipes and fittings (headings 73.04/73.05/73.06/73.07)",73.06,"Nova installs its first tube mill in Montréal, accelerating welded tubing growth.",https://novasteel.com/our-history/,,2026-08-28,High
225,"Steel, aluminum and fabricated metal goods",Aluminium sheet,Novelis Canada,Rolled aluminium sheet and coil (Kingston),Aluminium sheet for products (industrial),"Novelis has one active manufacturing facility in Canada—located in Kingston, Ontario—that produces specialty and industrial products","Kingston, Ontario","Ownership statement on official page: ""Novelis is a Canadian corporation formed under the Canada Business Corporations Act with its global headquarters in Atlanta, Georgia."" (ownership category not further verified)","Input materials for Novelis’ Canadian operations are nearly entirely comprised of aluminum coils from Novelis Corporation’s operations in Oswego, New York; much of this is processed at Kingston and then exported back to the U.S.","Replaces U.S.-origin aluminum products covered by the counter-tariffs (unwrought 76.01, bars and profiles 76.04, sheet 76.06, structures 76.10)",76.06,"Novelis has one active manufacturing facility in Canada – located in Kingston, Ontario – that produces specialty and industrial products",https://novelis.com/wp-content/uploads/2026/05/Novelis-Report-for-FY-2026-on-Fighting-Against-Forced-Labour-and-Child-Labour-in-Supply-Chains-1.pdf,https://novelis.com/wp-content/uploads/2024/02/Kingston-IATF-16949-Exp-Feb-2027.pdf,2026-08-28,High
226,"Steel, aluminum and fabricated metal goods",Aluminium primary metal,Rio Tinto (Quebec Operations),Primary aluminium ingots and billets,Aluminium metal for manufacturing (industrial),"In Québec, we produce ... aluminium","Québec, Canada","Ownership statement on official page: ""5 wholly owned smelters"" (ownership category not further verified)",None stated on fetched official page,"Replaces U.S.-origin aluminum products covered by the counter-tariffs (unwrought 76.01, bars and profiles 76.04, sheet 76.06, structures 76.10)",76.01,"In Québec, we produce some of the highest quality, lowest carbon footprint aluminium in the world",https://www.riotinto.com/en/operations/canada/saguenay,https://www.riotinto.com/en/can/canada-operations/saguenay,2026-08-28,High
227,"Steel, aluminum and fabricated metal goods",Steel wire,Sivaco Wire Group,Drawn steel wire products,Steel wire for products (industrial),Quebec Manufacturing Plant and Ontario Manufacturing Plant in Canada,"Marieville, Quebec; Ingersoll, Ontario",ownership not verified,None stated on fetched official page,"Replaces U.S.-origin steel mill and tube products covered by the counter-tariffs (72.08-72.17, 73.06)",72.17,"#### Head Office and Quebec Manufacturing Plant 800, rue Ouellette Marieville QC J3M 1P5 CANADA",https://sivaco.com/en/contact/,https://www.globenewswire.com/news-release/2025/03/24/3047999/0/en/sivaco-takes-legal-action-against-unfair-trade-practices-in-the-canadian-steel-market.html,2026-08-28,High
228,"Steel, aluminum and fabricated metal goods",Steel mill products,Stelco,"Hot-rolled, cold-rolled and coated sheet steel",Sheet steel for manufacturing (industrial),Hamilton Works is an integrated steel plant and produces approximately 2.5 million tonnes of steel per year,"Hamilton, Ontario","Ownership statement on official page: ""Owner: US Steel Canada"" (ownership category not further verified)",Most slabs cast at Hamilton Works are rolled in the Lake Erie Works Hot Strip Mill; some are shipped to other U. S. Steel facilities or sold.,"Replaces U.S.-origin steel mill products covered by the counter-tariffs (flat-rolled 72.08-72.12, bars and rods 72.13-72.15, wire 72.17)",72.08,Hamilton Works is an integrated steel plant and produces approximately 2.5 million tonnes of steel per year.,https://stelco.com/wp-content/uploads/2019/01/2010%20Toxics%20Reduction%20Annual%20Report%20(Public).pdf,https://stelco.com/our-story/,2026-08-28,High
229,"Electronics, audio and electrical equipment",Home theatre electronics,Anthem,AVM preamplifiers and MRX receivers,Home theatre receivers,Made in Canada,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,"Engineered and manufactured with a defiant, independent spirit, the MCA Gen 2 is proudly Made in Canada.",https://anthemav.com/mca-525-gen-2,https://www.anthemav.com/statement-m1,2026-08-28,Medium
230,"Electronics, audio and electrical equipment",Home audio electronics,Bryston,Cubed Series power amplifiers and BDA DACs,Home stereo amplifiers,"All Bryston amplifiers are engineered and manufactured in our state-of-the-art facility in Ontario, Canada","Ontario, Canada",ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,"All Bryston amplifiers are engineered and manufactured in our state-of-the-art facility in Ontario, Canada",https://bryston.com/amplifiers/,https://bryston.com/about-bryston/,2026-08-28,High
231,"Electronics, audio and electrical equipment",Projectors,Christie Digital Systems,Cinema and large-venue projectors,Projection systems (commercial),Finished products are designed and manufactured in Canada by Christie,Canada (location not stated),"Ownership statement on official page: ""Christie and its global affiliates are wholly-owned subsidiaries of Ushio Inc."" (ownership category not further verified)",Finished products are also manufactured overseas through Christie’s affiliates in China and Germany and through other manufacturers; components and raw materials are sourced from Canada and outside Canada.,Replaces U.S.-origin monitors and projectors (heading 85.28),85.28,Our finished products are designed and manufactured in Canada by Christie and by other entities overseas.,https://www.christiedigital.com/globalassets/about/sustainability/compliance/slavery-act-statement-2025.pdf,https://www.christiedigital.com/globalassets/about/sustainability/compliance/slavery-act-statement-2026.pdf,2026-08-28,Medium
232,"Electronics, audio and electrical equipment",Loudspeakers,Coincident Speaker Technology,Loudspeakers and tube amplifiers,Home stereo speakers and amps,all its speaker models are designed and completely manufactured in Canada,Canada (location not stated),"Ownership statement on official page: ""The company was founded and is operated by Israel Blume."" (ownership category not further verified)","Drivers are sourced from Scan-Speak, Vifa and SEAS; internal wiring uses American 6N copper; crossovers use Canadian and American components. | Availability note: The original Pure Reference, a single enclosure, is now long discontinued.",Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (listed related headings include monitors/projectors 85.28 and parts 85.29),n.a.,all its speaker models are designed and completely manufactured in Canada,https://coincidentspeaker.com/whatsnew.html,https://coincidentspeaker.com/soundstage9.htm,2026-08-28,Medium
233,"Electronics, audio and electrical equipment",Transformers,Delta Transformers,Dry-type distribution transformers,Electrical transformers (B2B),"manufacturing high-quality dry-type transformers and reactors in Granby, Quebec","Granby, Quebec",ownership not verified,None stated on fetched official page,"Replaces U.S.-origin electrical equipment on the counter-tariff list (insulated wire and cable 85.44, electrical parts 85.29)",85.04,"Located in Granby, Quebec, Delta Transformers has been designing and manufacturing high-quality dry-type transformers and reactors for more than 40 years.",https://www.delta.xfo.com/,https://documents.delta.xfo.com/Delta_Documents/Brochures/EN/Delta_Medium_Voltage_Transformers_EN.pdf,2026-08-28,High
234,"Electronics, audio and electrical equipment",EV chargers,FLO,Home and public EV charging stations,Home EV charging,"Assembly plant located in Shawinigan, Quebec","Shawinigan, Quebec",ownership not verified,None stated on fetched official page,Replaces U.S.-origin electrical charging equipment and related electrical apparatus,85.04,"FLO | AddEnergie’s headquarters and network operations centre are based in Quebec City, and its assembly plant is located in Shawinigan (Quebec).",https://www.flo.com/en-ca/press-release/flo-addenergie-announces-that-it-is-doubling-the-size-of-its-production-facilities/,,2026-08-28,High
235,"Electronics, audio and electrical equipment",Loudspeakers,Focus Audio,FS and Prestige loudspeakers,Home stereo speakers,The Liszts are made here in Canada.,"Markham, Ontario",ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (listed related headings include monitors/projectors 85.28 and parts 85.29),n.a.,"The Liszts are made here in Canada. Their circuit boards, transformers, and casework are all Canadian products, and the amps are assembled by hand at Focus Audio’s facility in Markham, Ontario.",https://www.ultraaudio.com/index.php/equipment-menu/695-focus-audio-liszt-concerto-mono-integrated-amplifiers,https://www.foundationaudio.ca/html/aboutus.htm,2026-08-28,High
236,"Electronics, audio and electrical equipment",Enclosures,Hammond Manufacturing,Electrical and electronic enclosures,Electrical enclosures and racks (B2B),"Focused factory in Waterloo, Canada for the production of outlet strips, surge suppressors and air movement accessories","Waterloo, Canada",ownership not verified,None stated on fetched official page,"Replaces U.S.-origin electrical equipment on the counter-tariff list (insulated wire and cable 85.44, electrical parts 85.29)",85.38,"Hammond has opened a focused factory in Waterloo, Canada for the production of outlet strips, surge suppressors and air movement accessories.",https://www.hammfg.com/files/literature/corp-overview.pdf?v=1697661432,https://www.hammfg.com/files/news/2025/2025-03-04-annual-information-form-2024.pdf?v=1741186077,2026-08-28,High
237,"Electronics, audio and electrical equipment",Transformers,Hammond Power Solutions,Dry-type transformers,Electrical transformers (B2B),HPS has manufacturing facilities in Canada,"Guelph, Ontario",ownership not verified,This multi-national strategy allows HPS the ability to shift products between plants as required.,"Replaces U.S.-origin electrical equipment on the counter-tariff list (insulated wire and cable 85.44, electrical parts 85.29)",85.04,"HPS has manufacturing facilities in Canada, the United States, and Mexico.",https://americas.hammondpowersolutions.com/our-company/commitment-to-excellence,,2026-08-28,High
238,"Electronics, audio and electrical equipment",LED lighting,Nemalux,Industrial LED luminaires,Industrial lighting (B2B),"Our products are designed and manufactured in Calgary, AB, Canada.","Calgary, Alberta, Canada","Ownership/parent stated on official page: ""Nemalux is part of Cooper Lighting Solutions, a Signify business""",None stated on fetched official page,Replaces U.S.-origin luminaires (94.05),94.05,"Our products are designed and manufactured in Calgary, AB, Canada.",https://nemalux.com/,https://nemalux.com/hubfs/3-pdf-files/Standard-Stocking-Guide/NEMALUX-COOPER-LIGHTING-Standard-Stocking-Guide-2025-A4.pdf,2026-08-28,High
239,"Electronics, audio and electrical equipment",Wire and cable,Northern Cables,"Armoured cable and building wire (AC90, teck cable)",Electrical wiring for renovations,"Wire and Cable Manufacturer with manufacturing centers in Brockville and Prescott, Ontario","Brockville and Prescott, Ontario","Canadian-owned per official page: ""Northern Cables Inc. is a Canadian owned and Operated Wire and Cable Manufacturer""",None stated on fetched official page,"Replaces U.S.-origin electrical equipment on the counter-tariff list (insulated wire and cable 85.44, electrical parts 85.29)",85.44,Our Facilities in Brockville and Prescott Ontario combine three complete manufacturing centers,https://northerncables.com/about/facility/,,2026-08-28,High
240,"Electronics, audio and electrical equipment",Loudspeakers,Paradigm,Founder Series loudspeakers,Home stereo and theatre speakers,Manufactured in Canada,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,"Manufactured in Canada, this all-new range takes performance to the next level with patented technology, step-up components, and hallmark Paradigm sound quality.",https://www.paradigm.com/,https://hometheaterhifi.com/features/factory-tours-interviews/paradigm-tour/,2026-08-28,Medium
241,"Electronics, audio and electrical equipment",Loudspeakers,PSB Speakers,Imagine and Synchrony loudspeakers,Home stereo speakers,Designed and engineered in Canada; PSB built the B1,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,"Designed and engineered in Canada, PSB built the B1 with high-quality MDF",https://www.psbspeakers.com/ca/alpha-b1-bookshelf,https://www.psbspeakers.com/ca/amfile/file/download/file/1867/product/62/,2026-08-28,Medium
242,"Electronics, audio and electrical equipment",Pro audio,Radial Engineering,"Direct boxes and audio interfaces (JDI, ProD2)",Studio and stage audio interfaces,Each and every Radial product is hand assembled right here in Canada,"Port Coquitlam, British Columbia",ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,Each and every Radial product is hand assembled right here in Canada,https://www.radialeng.com/blog/how-to-build-the-worlds-most-reliable-di,https://www.radialeng.com/wp-content/uploads/2018/03/SmartSheetBook-PZ-Pre.pdf,2026-08-28,High
243,"Electronics, audio and electrical equipment",Loudspeakers,Reference 3A,Reference 3A loudspeakers,Home stereo speakers,All Reference 3A manufacturing is now done in Canada,"Kitchener, Ontario",ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (listed related headings include monitors/projectors 85.28 and parts 85.29),n.a.,"all Reference 3A manufacturing is now done in Canada, having moved there from Switzerland",https://reference3a.com/wp-content/uploads/2021/03/decapo-stereophile.pdf,https://reference3a.com/wp-content/uploads/2021/03/grand-ultra.pdf,2026-08-28,High
244,"Electronics, audio and electrical equipment",Transformers,Rex Power Magnetics,Dry-type transformers and reactors,Electrical transformers (B2B),"Canadian dry-type transformer design and manufacturing company, headquartered in Concord, Ontario","Concord, Ontario",ownership not verified,None stated on fetched official page,"Replaces U.S.-origin electrical equipment on the counter-tariff list (insulated wire and cable 85.44, electrical parts 85.29)",85.04,"With a centralized integrated engineering, manufacturing and customer service facility located in Concord, Ontario",https://www.rexpowermagnetics.com/about/,https://www.rexpowermagnetics.com/,2026-08-28,High
245,"Electronics, audio and electrical equipment",Broadcast equipment,Ross Video,Carbonite switchers and production equipment,Video production equipment (B2B),"manufacturing facility in Iroquois Ontario, Canada","Iroquois, Ontario",ownership not verified,None stated on fetched official page,Replaces U.S.-origin broadcast and video equipment and parts (headings 85.28/85.29),85.29,"Ross Video demonstrates further commitment to the environment by launching a green energy expansion to its manufacturing facility in Iroquois Ontario, Canada.",https://www.rossvideo.com/company/media/news-releases/ross-video-breaks-ground-on-canadian-green-energy-manufacturing-facility-expansion-to-create-jobs-and-support-customers-in-over-100-countries/,https://www.rossvideo.com/company/media/news-releases/ross-video-wins-green-award-for-manufacturing-facility-in-iroquois-ontario/,2026-08-28,High
246,"Electronics, audio and electrical equipment",Solar panels,Silfab Solar,Solar photovoltaic modules,Rooftop solar modules,"Design and Manufacturing of high efficiency crystalline silicon (c-Si.) Photovoltaic modules in Mississauga, Ontario, Canada","Mississauga, Ontario",ownership not verified,None stated on fetched official page,Replaces U.S.-origin electrical generating equipment purchased instead of tariffed U.S. goods,n.a.,"Main Site: 240 Courtneypark Drive East, Mississauga, Ontario L5T 2Y3, Canada",https://silfabsolar.com/wp-content/uploads/2024/05/CERT-0121614_ENG_Silfab-Solar-Inc_.pdf,https://www.arcenergyinstitute.com/solar-manufacturing-the-problem-with-canadian-competitiveness/,2026-08-28,High
247,"Electronics, audio and electrical equipment",Home audio electronics,Simaudio (MOON),MOON amplifiers and streaming DACs,Home stereo electronics,Hand-assembled entirely in Canada,"Boucherville, Quebec",ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,Hand-assembled entirely in Canada,https://simaudio.com/,https://simaudio.com/en/product/641-integrated-amplifier/,2026-08-28,High
248,"Electronics, audio and electrical equipment",Electric heat tracing,Thermon Canada,Heat tracing cable systems,Pipe freeze protection cable (industrial),Process heating products are primarily manufactured at our Canadian facilities,Canada (location not stated),ownership not verified,Process heating products are primarily manufactured at Canadian facilities; other manufacturing locations and product-specific exceptions are stated on the page.,"Replaces U.S.-origin electrical equipment on the counter-tariff list (insulated wire and cable 85.44, electrical parts 85.29)",85.16,"Process heating products are primarily manufactured at our Canadian facilities, which include: Calgary, Edmonton, Fort McMurray, Oakville, and Orillia.",https://ir.thermon.com/sec-filings/all-sec-filings/content/0001489096-25-000071/0001489096-25-000071.pdf,,2026-08-28,Medium
249,"Electronics, audio and electrical equipment",Loudspeakers,Totem Acoustic,"Sky, Forest and Element loudspeakers",Home stereo speakers,"producing handcrafted loudspeakers in Montreal, Quebec","Montreal, Quebec",ownership not verified,None stated on fetched official page,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,"Totem Acoustic has a rich history of producing handcrafted loudspeakers in Montreal, Quebec.",https://totemacoustic.com/totem-acoustic-our-story/,https://totemacoustic.com/,2026-08-28,High
250,"Electronics, audio and electrical equipment",Pro audio,Yorkville Sound / Traynor,Traynor guitar amplifiers and Yorkville powered speakers,Stage amplifiers and PA speakers,"manufactures ... in Canada, at the Pickering facility; Canadian made","Pickering, Ontario","Ownership statement on official page: ""Yorkville Sound wholly owns Applied Research and Technology (ART)."" (ownership category not further verified)",Only professional PA products and Traynor instrument amplifiers are explicitly stated as manufactured in Canada or Canadian made; other brands and products are described as distributed or manufactured elsewhere.,Replaces U.S.-origin consumer electronics and audio equipment purchased instead of tariffed U.S. goods (related listed headings include monitors/projectors 85.28 and parts 85.29),n.a.,Yorkville Sound also designs and manufactures a complete line of Canadian made tube and solid state instrument amplifiers,https://www.sightnsound.ca/en/cp-13394-yorkville,https://www.yorkville.com/images/products/press/pr_yx_series.pdf,2026-08-28,High
251,"Sports, outdoor, recreation and toys",Outdoor apparel,Arc'teryx,ARC'One Vancouver-made technical shells,Technical outdoor jackets,"ARC’One produces items for Veilance and LEAF at 425 Boyne Street, New Westminster, BC, Canada","New Westminster, BC",ownership not verified,None stated on fetched official page,Replaces U.S.-origin anoraks and outdoor shells (headings 62.01/62.02),62.01,"425 Boyne Street, New Westminster, BC, Canada ... ARC’One produces items for Veilance, a highly technical urban collection, and LEAF",https://arcteryx.com/us/en/explore/supply-chain-partners/arc-one,https://arcteryx.com/us/en/product-advice/arcteryx-manufacturing-partners,2026-08-28,High
252,"Sports, outdoor, recreation and toys",Hot tubs,Arctic Spas,Hot tubs and swim spas,Backyard hot tub,Made in Canada for Canadian Winters,"Thorsby, Alberta","Ownership statement on official page: ""The Arctic Spas® ownership group is a unique set of guys, having all grown up on farms and in small rural communities of western Canada."" (ownership category not further verified)",None stated on fetched official page,"Replaces U.S.-origin hot tubs, spas and related equipment bought instead of tariffed U.S. goods",n.a.,Arctic Spas® Brand Hot Tubs and Swim Spas – Made in Canada for Canadian Winters!,https://www.arcticspasedmonton.com/,https://myarcticspa.com/App_Themes/Arctic/Documents/Arctic_Brochure.pdf,2026-08-28,High
253,"Sports, outdoor, recreation and toys",Curling equipment,BalancePlus,Curling brushes and sliders,Curling brushes,BalancePlus has a licensing agreement to manufacture and sell EQualizer Brush-Heads in Canada and the United States,Canada (location not stated),"Ownership statement on official page: ""UWO still has the patent, but sold the licensing rights to BalancePlus"" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment covered by the counter-tariffs (general physical exercise articles 95.06),95.06,Now with a licensing agreement with BalancePlus to manufacture and sell the broom heads in Canada and the United States,https://balanceplus.com/news/,https://balanceplus.com/product/rs-foam-brushes/,2026-08-28,Medium
254,"Sports, outdoor, recreation and toys",Hot tubs,Beachcomber Hot Tubs,Hot tubs (300 and 500 series),Backyard hot tub,"Beachcomber Hot Tubs factory in Surrey, British Columbia, Canada","Surrey, British Columbia","Ownership statement on official page: ""Beachcomber Hot Tubs is and will continue to be a family-owned and operated multi-generational business."" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin hot tubs and spa equipment,n.a.,"On February 14, 1978, the Scott Family founded the Beachcomber Hot Tubs factory in Surrey, British Columbia, Canada, where our global headquarters and factory still reside today.",https://www.beachcomberhottubs.com/about-us-company,https://www.beachcomberhottubs.com/en_us/,2026-08-28,High
255,"Sports, outdoor, recreation and toys",Playgrounds,Blue Imp,Playground structures and swings,Community and school playgrounds (institutional),"Made in Canada, for Canada; designed and manufactured at our headquarters in Medicine Hat, Alberta","Medicine Hat, Alberta","Ownership statement on official page: ""Proudly family-owned since 1917"" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment (heading 95.06),95.06,"Our high quality playground products and park amenities are proudly designed and manufactured at our headquarters in Medicine Hat, Alberta.",https://www.blueimp.com/,https://www.blueimp.com/history/,2026-08-28,High
256,"Sports, outdoor, recreation and toys",Game tables,Canada Billiard & Bowling,Billiard tables,Home billiards,Largest manufacturing unit and distributor of billiard tables and accessories in Canada,"Laval, Quebec","Ownership statement on official page: ""CANADA BILLIARD & BOWLING INC. owned two manufacturing plants."" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin table or parlour games and game articles (heading 95.04),95.04,"Founded in 1973, Canada Billiard is the largest manufacturing unit and distributor of billiard tables and accessories in Canada.",http://www.billiardsforum.com/biz/canada-billiard-bowling-laval,https://canadabilliard.com/products/euro,2026-08-28,High
257,"Sports, outdoor, recreation and toys",Kayaks,Clearwater Design,Recreational kayaks and canoes,Recreational paddling,Made in Canada since 1995,Ontario,ownership not verified,None stated on fetched official page,Replaces U.S.-origin recreational watercraft and paddling gear bought instead of tariffed U.S. goods (related listed headings include 95.06 sports equipment),n.a.,"All of our boats are made in Ontario, Canada.",https://clearwaterdesign.com/,https://clearwaterdesign.com/about/,2026-08-28,High
258,"Sports, outdoor, recreation and toys",Kayaks,Delta Kayaks,Thermoformed touring kayaks,Touring kayaks,PROUDLY MADE IN CANADA,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin recreational watercraft and paddling gear bought instead of tariffed U.S. imports,n.a.,# PROUDLY MADE IN CANADA,https://www.deltakayaks.com/,https://www.deltakayaks.com/delta-difference/,2026-08-28,Medium
259,"Sports, outdoor, recreation and toys",Bicycles,Devinci,Aluminium mountain bike frames (Canadian-made line),Mountain biking,Made in Canada,"Chicoutimi, Quebec","Ownership statement on official page: ""Devinci owner and President Francis Morin"" (ownership category not further verified)",We don’t make ALL of our bikes in Canada; we make MOST of them here.,Replaces U.S.-origin bicycles and cycle goods purchased instead of tariffed U.S. imports (motorcycles/e-cycles 87.11 are listed),87.11,Every day our staff proudly make Devinci bikes in our Canadian factory.,https://www.devinci.com/en/quebec/,https://www.devinci.com/en/manufacturing-solutions/,2026-08-28,High
260,"Sports, outdoor, recreation and toys",Snowshoes,Faber & Co.,"Snowshoes (Sport, Trail)",Winter hiking,"fabriqués entièrement au Canada, plus précisément au Québec","Québec, Québec","Ownership statement on official page: ""Depuis 2021, Faber a intégré l’entreprise d’économie sociale Groupe TAQ."" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment covered by the counter-tariffs (general physical exercise articles 95.06),95.06,"Groupe TAQ | Division Faber est fière de vous offrir des produits de qualité fabriqués entièrement au Canada, plus précisément au Québec.",https://www.fabersnowshoes.com/fr,https://www.fabersnowshoes.com/fr/pages/about-us,2026-08-28,High
261,"Sports, outdoor, recreation and toys",Paddles,Grey Owl Paddles,Wood and composite canoe paddles,Canoe paddles,Handcrafted Canadian Canoeing & Kayaking Paddles,Canada (location not stated),ownership not verified,None stated on fetched official page | Availability note: Northern Light — Sold out,Replaces U.S.-origin recreational watercraft and paddling gear bought instead of tariffed U.S. goods (related listed headings include 95.06 sports equipment),n.a.,Grey Owl Paddles: Handcrafted Canadian Canoeing & Kayaking Paddles,https://greyowlpaddles.com/,,2026-08-28,Medium
262,"Sports, outdoor, recreation and toys",Snowshoes,GV Snowshoes,Traditional and aluminum snowshoes,Winter hiking,"Located in the Québec City region, GV Snowshoes manufactures every type of snowshoe available on the market.","Québec City, Québec",ownership not verified,None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment covered by the counter-tariffs (general physical exercise articles 95.06),95.06,"Located in the Québec City region, GV Snowshoes manufactures every type of snowshoe available on the market",https://www.gvsnowshoes.com/en,https://www.gvsnowshoes.com/en/company,2026-08-28,High
263,"Sports, outdoor, recreation and toys",Skating equipment,Jackson Ultima,Figure skates and blades,Figure skates,"A state of the art factory in Waterloo, Ontario; manufacturer of high-end skate products","Waterloo, Ontario","Ownership statement on official page: ""In 2021 Tournament Sports Marketing Inc. was sold by Kim Bauer to CCM Hockey."" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment covered by the counter-tariffs (general physical exercise articles 95.06),95.06,"Mr. Loveridge developed a state of the art factory in Waterloo, Ontario and Jackson evolved to a manufacturer of high-end skate products.",https://jacksonultima.com/pages/timeline,,2026-08-28,High
264,"Sports, outdoor, recreation and toys",Canoes,Langford Canoe,Cedar and Kevlar canoes,Recreational canoeing,Canadian-built Langford canoes,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin recreational watercraft and paddling gear bought instead of tariffed U.S. goods (related listed headings include 95.06 sports equipment),n.a.,"Canadian-built Langford canoes embody the spirit of a wild, untamed land",https://langfordcanoe.com/pages/wood-canoes,,2026-08-28,Medium
265,"Sports, outdoor, recreation and toys",Boats,Legend Boats,Aluminium fishing boats,Recreational fishing boats,Component manufacturing is outsourced throughout North America; final assembly is performed in Canada.,Canada (location not stated),"Ownership statement on official page: ""Legend is proud to have the same owners and same focus on family values."" (ownership category not further verified)",Component manufacturing is outsourced to quality manufacturers throughout North America.,Replaces U.S.-origin recreational watercraft and paddling gear bought instead of tariffed U.S. goods (related listed headings include 95.06 sports equipment),n.a.,"By outsourcing component manufacturing and then performing all final assembly, sales, service, and warranty right here in Canada",https://legend-marketing.s3.amazonaws.com/2024/catalogues/Legend-Boats-2024-Family-and-Fishing-Boats.pdf,,2026-08-28,Medium
266,"Sports, outdoor, recreation and toys",Fishing tackle,Len Thompson,Fishing spoons (Five of Diamonds),Fishing lures,"proudly manufactures the following brands in Lacombe, Alberta, Canada","Lacombe, Alberta","Ownership statement on official page: ""Thank you for supporting our family-owned and operated business for over 90 yearS"" (ownership category not further verified)",None stated on fetched official page,"Replaces U.S.-origin fishing rods, tackle and lures (heading 95.07)",95.07,"Thompson-Pallister Bait Co. Ltd. proudly manufactures the following brands in Lacombe, Alberta, Canada:",https://www.lenthompson.com/madeincanada.html,https://www.lenthompson.com/our-history.html,2026-08-28,High
267,"Sports, outdoor, recreation and toys",Fishing tackle,Lucky Strike Bait Works,Fishing lures and spoons,Freshwater fishing lures,"Manufactured at facilities in Peterborough and Cobourg, Ontario","Peterborough, Ontario; Cobourg, Ontario","Ownership statement on official page: ""Fourth-generation family-owned business of the Edgar family"" (ownership category not further verified)",None stated on fetched official page,"Replaces U.S.-origin fishing rods, tackle and lures (heading 95.07)",95.07,"A second factory was added in 1944 in Cobourg, Ontario to produce treble hooks, split rings and swivels",https://luckystrikebaitworks.com/history/,,2026-08-28,High
268,"Sports, outdoor, recreation and toys",Hockey equipment,McKenney Professional,Custom goalie pads and gloves,Goalie equipment,Canadian-Made,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment covered by the counter-tariffs (general physical exercise articles 95.06),95.06,Since we build all of our gear in Canada,https://mckenneyhockey.com/en-us,https://madeinca.ca/sports-equipment-mckenney-custom-sports/,2026-08-28,Medium
269,"Sports, outdoor, recreation and toys",Fitness equipment,Northern Lights Fitness Products,Commercial strength equipment and racks,Home and gym strength equipment,"Made in Canada; made in-house in Quebec; Made in Canada, Start to Finish; Canadian Foundry Manufacturing",Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin sports and exercise equipment (heading 95.06),95.06,"Made in Canada, Start to Finish: No outsourcing or repackaging, everything is crafted in Ontario.",https://www.yanrefitness.com/canadian-fitness-equipment-manufacturers/,https://madeinca.ca/fitness-northern-lights/,2026-08-28,Medium
270,"Sports, outdoor, recreation and toys",Canoes,Nova Craft Canoe,Prospector and Pal canoes,Recreational canoeing,Made in Canada,"London, Ontario",ownership not verified,None stated on fetched official page,Replaces U.S.-origin recreational watercraft and paddling gear bought instead of tariffed U.S. goods (related listed headings include 95.06 sports equipment),n.a.,"Today, Nova Craft canoes are made in Canada and trusted by paddlers around the world.",https://www.novacraft.com/,https://www.novacraft.com/our-company/,2026-08-28,High
