id,sector,category,brand,product_or_line,common_use,made_in_canada_claim,manufacturing_location,ownership_note,origin_caveat,tariff_relevance,candidate_hs_heading,evidence_quote,official_source_url,secondary_source_url,verification_date,confidence,sector_fr,category_fr,product_or_line_fr,common_use_fr,made_in_canada_claim_fr,manufacturing_location_fr,ownership_note_fr,origin_caveat_fr,tariff_relevance_fr
70,"Pantry, bakery, snacks, beverages, frozen and canned foods",Spirits,Ungava,Canadian Premium Gin,Gin,"Canadian producer; spirits produced in Cowansville, Quebec","Cowansville, Quebec",ownership not verified,None stated on fetched official page,"Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations",n.a.,Ungava Spirits Co. is a leading Canadian producer of premium-quality craft spirits.,https://ungavaco.com/en/about/our-company/,https://www.pernod-ricard.com/en/brands/ungava,2026-08-28,High,"Produits d’épicerie, de boulangerie, collations, boissons, aliments surgelés et en conserve",Spiritueux,Canadian Premium Gin,Gin,Producteur canadien; spiritueux produits à Cowansville (Québec),"Cowansville, Québec",Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les produits d'épicerie emballés d’origine américaine dans le panier visé par les droits de douane de rétorsion, y compris les préparations alimentaires à base de farine"
71,"Pantry, bakery, snacks, beverages, frozen and canned foods",Bakery snacks,Vachon,Jos Louis and Ah Caramel! cakes,Lunchbox snack cakes,Fabriqués à Sainte-Marie-de-Beauce au Québec,"Sainte-Marie-de-Beauce, Québec",ownership not verified,None stated on fetched official page | Availability note: Certains produits peuvent ne pas être disponibles dans votre région.,Replaces U.S.-origin flour-based food preparations (heading 19.01) and other imported U.S. baking staples,19.01,"Fabriqués à Sainte-Marie-de-Beauce au Québec, les petits gâteaux Vachon🅫 font le bonheur des familles depuis 1923.",https://www.vachon.com/produits/jos-louis/324-g,,2026-08-28,High,"Produits d’épicerie, de boulangerie, collations, boissons, aliments surgelés et en conserve",Collations de boulangerie,Gâteaux Jos Louis et Ah Caramel!,Gâteaux-collations pour la boîte à lunch,Fabriqués à Sainte-Marie-de-Beauce au Québec,"Sainte-Marie-de-Beauce, Québec",Propriété non vérifiée,Aucune précision sur la page officielle consultée.Remarque sur la disponibilité : Certains produits peuvent ne pas être disponibles dans votre région.,Remplace les préparations alimentaires à base de farine d’origine américaine (rubrique SH 19.01) et d’autres produits de base américains importés pour la pâtisserie
72,"Pantry, bakery, snacks, beverages, frozen and canned foods",Pickles,Whyte's,Bick's pickles,Pickles and relish,Both of our production facilities in Quebec,Quebec,ownership not verified,Our first choice for Mrs. Whyte’s pickles is always to use locally grown cucumbers.,"Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations",n.a.,Both of our production facilities in Quebec are certified Kosher,https://whytes.ca/mrs-whytes/,,2026-08-28,High,"Produits d’épicerie, de boulangerie, collations, boissons, aliments surgelés et en conserve",Cornichons,Cornichons Bick’s,Cornichons et relish,Deux installations de production au Québec,Québec,Propriété non vérifiée,Notre premier choix pour Mme. Les cornichons de Whyte sont toujours à utiliser des concombres cultivés localement.,"Remplace les produits d'épicerie emballés d’origine américaine dans le panier visé par les droits de douane de rétorsion, y compris les préparations alimentaires à base de farine"
73,"Pantry, bakery, snacks, beverages, frozen and canned foods",Condiments,Wildly Delicious,Gourmet sauces and dressings,Cooking sauces and dressings,"Made in Canada; Product of Canada; Made sustainably in small batches in Ontario, Canada",Canada (location not stated),ownership not verified,Some products are made from domestic and imported ingredients.,Replaces U.S.-origin packaged condiments,n.a.,Made in Canada from domestic and imported ingredients,https://ca.wildlydelicious.com/collections/oh-canada,,2026-08-28,Medium,"Produits d’épicerie, de boulangerie, collations, boissons, aliments surgelés et en conserve",Condiments,Sauces et vinaigrettes gastronomiques,Sauces à cuisiner et vinaigrettes,"Fabriqué au Canada; Produit du Canada; fabriqué de façon durable en petits lots en Ontario, au Canada",Canada (emplacement non précisé),Propriété non vérifiée,Certains produits sont fabriqués à partir d'ingrédients nationaux et importés.,Remplace les condiments emballés d’origine américaine
74,"Clothing, footwear and textiles",Footwear,Baffin,Extreme-cold and industrial boots,Extreme-cold boots,manufacturing cold climate products in Canada,"Stoney Creek, ON",ownership not verified,"Outside of Canada, Baffin sources materials from Turkey, China, Myanmar, and Italy; Baffin also has global partners held accountable to the same standards as its Canadian-made product.","Canadian-made substitute bought instead of U.S. apparel/textile goods on the counter-tariff list (footwear itself is not listed in the September 8, 2026 schedule)",n.a.,"Since 1979, Baffin has been committed to manufacturing cold climate products in Canada.",https://www.baffin.com/en-us/blogs/technology/how-baffins-cold-climate-products-are-made,,2026-08-28,High,"Vêtements, chaussures et textiles",Chaussures,Bottes industrielles et pour froid extrême,Bottes pour froid extrême,Fabrication au Canada de produits conçus pour les climats froids,"Stoney Creek, Ontario",Propriété non vérifiée,"À l'extérieur du Canada, Baffin produit des matériaux provenant de Turquie, de Chine, du Myanmar et d'Italie.",Produit de remplacement fabriqué au Canada plutôt que des vêtements et articles textiles américains figurant sur la liste des droits de douane de rétorsion (les chaussures elles-mêmes ne figurent pas à l’annexe du 8 septembre 2026)
75,"Clothing, footwear and textiles",Carpet and flooring,Beaulieu Canada,Broadloom carpet and residential flooring,Wall-to-wall carpet,"Manufacturing in Canada, for Canadians",Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin carpets and textile floor coverings (headings 57.02/57.03) under the counter-tariffs,57.03,"By manufacturing in Canada, for Canadians, we have firsthand insight into what homeowners and businesses need.",https://canada.beaulieucanada.com/en/canada/about/shop-smart-shop-canadian,https://canada.beaulieucanada.com/images/documents/beaulieu_canada/10/en/BeaulieuCanada_Bill_S211_English_2026.pdf,2026-08-28,Medium,"Vêtements, chaussures et textiles",Moquette et revêtements de sol,Moquette en rouleau et revêtement de sol résidentiel,Moquette mur à mur,"Fabrication au Canada, pour les Canadiens",Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace les tapis d’origine américaine et les revêtements de sol textiles (rubriques SH 57.02/57.03) visés par les droits de douane de rétorsion
76,"Clothing, footwear and textiles",Workwear,Big Bill,"Workwear pants, shirts and coveralls",Industrial and trades workwear,QUALITY APPAREL MADE IN USA & CANADA SINCE 1946,"Coaticook, Quebec","Ownership statement on official page: ""BIGBILL® is a brand by CODET INC., which continues to be a fourth generation family business."" (ownership category not further verified)",Official page claims apparel made in USA and Canada - confirm the label on the specific item.,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",62.03,QUALITY APPAREL MADE IN USA & CANADA SINCE 1946,https://www.bigbill.com/ca_en/about-us,https://www.bigbill.com/us_en/about-us,2026-08-28,High,"Vêtements, chaussures et textiles",Vêtements de travail,"Pantalons, chemises et combinaisons de travail",Vêtements de travail pour l’industrie et les métiers,VÊTEMENTS DE QUALITÉ FABRIQUÉS AUX ÉTATS-UNIS ET AU CANADA DEPUIS 1946,"Coaticook, Québec","Déclaration concernant la propriété sur la page officielle : ""BIGBILL® is a brand by CODET INC., which continues to be a fourth generation family business."" (catégorie de propriété non vérifiée)",La page officielle mentionne les vêtements fabriqués aux États-Unis et au Canada - confirmer l'étiquette de l'article en question.,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
77,"Clothing, footwear and textiles",Footwear,Boulet Boots,Western and work boots,Western and work boots,Canadian company; first and largest manufacturer of western boots in the country,"St-Tite, Quebec","Ownership/parent stated on official page: ""G.A. Boulet is the oldest western boot company in North America which is continuously owned by the same family.""",None stated on fetched official page,"Canadian-made substitute bought instead of U.S. apparel/textile goods on the counter-tariff list (footwear itself is not listed in the September 8, 2026 schedule)",n.a.,Boulet Inc. is a Canadian company that presents itself as the first and largest manufacturer of western boots in the country.,https://bouletboots.com/history/,,2026-08-28,High,"Vêtements, chaussures et textiles",Chaussures,Bottes western et de travail,Bottes western et de travail,Société canadienne; premier et plus grand fabricant de bottes de l'Ouest au pays,"St-Tite, Québec","Propriétaire ou société mère indiqué sur la page officielle : ""G.A. Boulet is the oldest western boot company in North America which is continuously owned by the same family.""",Aucune précision sur la page officielle consultée,Substitut fabriqué au Canada acheté à la place des vêtements et des articles textiles américains figurant sur la liste des droits de douane de rétorsion (les chaussures eux-mêmes ne figurent pas à l'annexe du 8 septembre 2026)
78,"Clothing, footwear and textiles",Yarn and craft textiles,Briggs & Little,"Woollen yarns (Heritage, Regal, Tuffy)",Knitting and crafting yarn,Canada’s Oldest Woolen Mill,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin textile goods and made-up textile articles purchased instead of tariffed U.S. imports,n.a.,Canada’s Oldest Woolen Mill Supplying Quality Wool for Generations,https://briggsandlittle.com/,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Fils et textiles d’artisanat,"Fils de laine (Heritage, Regal, Tuffy)",Fil à tricoter et pour l’artisanat,L'usine de laine la plus ancienne du Canada,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace les produits textiles d’origine américaine et les articles textiles confectionnés achetés au lieu des importations américaines assujetties aux droits de douane
79,"Clothing, footwear and textiles",Winter outerwear,Canada Goose,"Made in Canada down parkas (Expedition, Snow Mantra)",Extreme-cold winter parkas,all of our core down-filled products are manufactured in Canada,Canada (location not stated),"Ownership statement on official page: ""within our owned and operated facilities across the country"" (ownership category not further verified)",The company has added manufacturing partners around the globe for new categories; the Canada manufacturing claim applies to core down-filled products.,Replaces U.S.-origin outerwear and anoraks (headings 62.01/62.02) under the counter-tariffs,62.01,all of our core down-filled products are manufactured in Canada,https://canadagoose.com.au/pages/craftsmanship,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Vêtements d’extérieur d’hiver,"Parkas en duvet fabriqués au Canada (Expedition, Snow Mantra)",Parkas d’hiver pour froid extrême,tous nos produits bas-remplis sont fabriqués au Canada,Canada (emplacement non précisé),"Déclaration concernant la propriété sur la page officielle : ""within our owned and operated facilities across the country"" (catégorie de propriété non vérifiée)",L'entreprise a ajouté des partenaires manufacturiers partout dans le monde pour de nouvelles catégories; l'allégation de fabrication du Canada s'applique aux produits d'un noyau rempli vers le bas.,Remplace les vêtements et anoraks d’origine américaine (rubriques SH 62.01/62.02) visés par les droits de douane de rétorsion
80,"Clothing, footwear and textiles",Footwear,Canada West Boots,Work and western boots,Work boots,Proudly Made In Canada,Canada (location not stated),ownership not verified,Canada West branded shoe care tins are produced on behalf of Canada West in Canada by Canadian Beeseal.,"Canadian-made substitute bought instead of U.S. apparel/textile goods on the counter-tariff list (footwear itself is not listed in the September 8, 2026 schedule)",n.a.,As we move into our 48th year making footwear in Winnipeg,https://www.canadawestboots.com/,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Chaussures,Bottes de travail et western,Bottes de travail,Fièrement fabriqué au Canada,Canada (emplacement non précisé),Propriété non vérifiée,Les boîtes d’entretien de marque Canada West sont produites au Canada pour Canada West par Canadian Beeseal.,Substitut fabriqué au Canada acheté à la place des vêtements et des articles textiles américains figurant sur la liste des droits de douane de rétorsion (les chaussures eux-mêmes ne figurent pas à l'annexe du 8 septembre 2026)
81,"Clothing, footwear and textiles",Bedding,Canadian Down & Feather Company,Down duvets and pillows,Duvets and pillows,Most of our products are made with care in-house in Toronto.,Canada (location not stated),ownership not verified,Most of our products are made in-house in Toronto.,Replaces U.S.-origin textile goods and made-up textile articles purchased instead of tariffed U.S. imports,n.a.,Most of our products are made with care in-house in Toronto.,https://www.canadiandownandfeather.com/,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Literie,Couettes en duvet et oreillers,Couettes et oreillers,La plupart de nos produits sont fabriqués avec soin à Toronto.,Canada (emplacement non précisé),Propriété non vérifiée,La plupart de nos produits sont fabriqués en interne à Toronto.,Remplace les produits textiles d’origine américaine et les articles textiles confectionnés achetés au lieu des importations américaines assujetties aux droits de douane
82,"Clothing, footwear and textiles",Yarn and blankets,Custom Woolen Mills,"Wool batting, yarn and blankets","Yarn, quilt batting and blankets",Handcrafted woolen products made in Canada; Canadian-made wool products,"Carstairs, Alberta","Ownership statement on official page: ""historic family-owned and operated woolen mill"" (ownership category not further verified)",None stated on fetched official page,Replaces U.S.-origin textile goods and made-up textile articles purchased instead of tariffed U.S. imports,n.a.,"Shop handcrafted woolen products made in Canada, as well as handcrafted wooden items and all-natural bath and body products.",https://www.customwoolenmills.com/,,2026-08-28,High,"Vêtements, chaussures et textiles",Fils et couvertures,"Bourre de laine, fil et couvertures","Fil, bourre à courtepointe et couvertures",Produits de laine fabriqués à la main au Canada; produits de laine fabriqués au Canada,"Carstairs, Alberta","Déclaration concernant la propriété sur la page officielle : ""historic family-owned and operated woolen mill"" (catégorie de propriété non vérifiée)",Aucune précision sur la page officielle consultée,Remplace les produits textiles d’origine américaine et les articles textiles confectionnés achetés au lieu des importations américaines assujetties aux droits de douane
83,"Clothing, footwear and textiles",Socks,Duray,Wool and performance socks,Everyday and work socks,Wool socks made in Quebec,Quebec,ownership not verified,None stated on fetched official page,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",61.16,Wool socks made in Quebec,https://duray.com/en,,2026-08-28,High,"Vêtements, chaussures et textiles",Chaussettes,Chaussettes de laine et de performance,Chaussettes de tous les jours et de travail,Chaussettes en laine fabriquées au Québec,Québec,Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
84,"Clothing, footwear and textiles",Contract textiles,Duvaltex,Contract upholstery and panel fabrics,Commercial upholstery fabric (industrial/B2B),All products from our Canadian facilities meet Made in Canada requirements.,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin textile goods and made-up textile articles purchased instead of tariffed U.S. imports,n.a.,All products from our Canadian facilities meet Made in Canada requirements.,https://duvaltex.com/en-us/protective-textiles/industrial-safety,https://duvaltex.com/en-ca/protective-textile/medical,2026-08-28,Medium,"Vêtements, chaussures et textiles",Textiles contractuels,Tissus contractuels pour meubles rembourrés et panneaux,Tissu d’ameublement commercial (industriel/interentreprises),Tous les produits de nos installations canadiennes respectent les exigences de la mention Made in Canada.,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace les produits textiles d’origine américaine et les articles textiles confectionnés achetés au lieu des importations américaines assujetties aux droits de douane
85,"Clothing, footwear and textiles",Outerwear,Ecologyst,Merino and waxed canvas outerwear,Merino base layers and jackets,Made in Canada,"Victoria, BC",ownership not verified,"The page states that all clothing is made in North America, but identifies only some clothing as coming out of the Canadian factory.",Replaces U.S.-origin outerwear and anoraks (headings 62.01/62.02) under the counter-tariffs,62.01,"Just some of the durable, sustainable clothing to come out of our Canadian factory are The Market Pant and our plastic-free puffy alternative: The Quilted Collection.",https://ecologyst.com/blogs/field-notes/hometown-production,,2026-08-28,High,"Vêtements, chaussures et textiles",Vêtements d’extérieur,Vêtements d’extérieur en mérinos et en toile cirée,Couches de base et manteaux en mérinos,Fabriqué au Canada,"Victoria, Colombie-Britannique",Propriété non vérifiée,"La page indique que tous les vêtements sont fabriqués en Amérique du Nord, mais identifie seulement certains vêtements comme provenant de l'usine canadienne.",Remplace les vêtements et anoraks d’origine américaine (rubriques SH 62.01/62.02) visés par les droits de douane de rétorsion
86,"Clothing, footwear and textiles",Womenswear,Encircled,"Versatile travel clothing (Dressy Sweatpant, Chrysalis Cardi)",Work and travel clothing,"100% sewn in Toronto, Canada",Canada (location not stated),"Ownership statement on official page: ""Encircled is a privately owned company."" (ownership category not further verified)",Approximately 55%-60% of fabrics are knitted and dyed locally; the page states that 100% of the collection is made in Toronto and 100% sewn in Toronto.,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",62.04,"We’re proudly 100% sewn in Toronto, Canada, with all sewing studios less than 35km from our office!",https://www.encircled.co/pages/faq-new,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Vêtements pour femmes,"Vêtements de voyage polyvalents (Dressy Sweatpant, Chrysalis Cardi)",Vêtements pour le travail et le voyage,"100 % cousu à Toronto, Canada",Canada (emplacement non précisé),"Déclaration concernant la propriété sur la page officielle : ""Encircled is a privately owned company."" (catégorie de propriété non vérifiée)",Environ 55 % à 60 % des tissus sont tricotés et teints localement; la page indique que 100 % de la collection est fabriquée à Toronto et 100 % cousu à Toronto.,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
87,"Clothing, footwear and textiles",Carpet and flooring,Kraus Flooring,Carpet and area rugs,Carpet and rugs,"carpet and fibre manufacturing facilities in Waterloo, Ontario","Waterloo, Ontario",ownership not verified,None stated on fetched official page,Replaces U.S.-origin carpets and textile floor coverings (headings 57.02/57.03) under the counter-tariffs,57.03,"its main carpet and fibre manufacturing facilities in Waterloo, Ontario have developed a quality manufacturing system",https://d-jflooring.com/products-kraus.php,,2026-08-28,High,"Vêtements, chaussures et textiles",Moquette et revêtements de sol,Moquette et carpettes,Moquette et carpettes,"Installations de fabrication de moquette et de fibres à Waterloo, en Ontario","Waterloo, Ontario",Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace les tapis d’origine américaine et les revêtements de sol textiles (rubriques SH 57.02/57.03) visés par les droits de douane de rétorsion
88,"Clothing, footwear and textiles",Footwear,Manitobah,Mukluks and moccasins (Made in Canada line),Winter mukluks and slippers,Indigenous Market items are handcrafted in Canada and the US by Indigenous artisans,Canada (location not stated),"Ownership/parent stated on official page: ""Manitobah is a privately held company with both Indigenous and non-Indigenous ownership. Our original Métis founder and the Montreal Lake Cree Nation ""","Products are produced in international ethical partner factories, primarily in Vietnam; Indigenous Market items are handcrafted in Canada and the US.","Canadian-made substitute bought instead of U.S. apparel/textile goods on the counter-tariff list (footwear itself is not listed in the September 8, 2026 schedule)",n.a.,Our Indigenous Market items are handcrafted in Canada and the US by Indigenous artisans.,https://www.manitobah.ca/pages/faq,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Chaussures,Mukluks et mocassins (gamme Made in Canada),Mukluks et pantoufles d’hiver,Les articles Indigenous Market sont fabriqués à la main au Canada et aux États-Unis par des artisans autochtones,Canada (emplacement non précisé),"Propriétaire ou société mère indiqué sur la page officielle : ""Manitobah is a privately held company with both Indigenous and non-Indigenous ownership. Our original Métis founder and the Montreal Lake Cree Nation ""","Les produits sont fabriqués dans des usines partenaires éthiques internationales, principalement au Vietnam; les articles du marché autochtone sont fabriqués à la main au Canada et aux États-Unis.",Substitut fabriqué au Canada acheté à la place des vêtements et des articles textiles américains figurant sur la liste des droits de douane de rétorsion (les chaussures eux-mêmes ne figurent pas à l'annexe du 8 septembre 2026)
89,"Clothing, footwear and textiles",Safety footwear,Mellow Walk,Safety shoes and boots (CSA),Workplace safety shoes,"Mellow Walk makes its footwear at its company owned footwear factory in Toronto, Canada.",Canada (location not stated),"Ownership statement on official page: ""its company owned footwear factory"" (ownership category not further verified)","Mellow Walk sources many footwear components from suppliers within North America, and when not possible from Europe.","Canadian-made substitute bought instead of U.S. apparel/textile goods on the counter-tariff list (footwear itself is not listed in the September 8, 2026 schedule)",n.a.,"Mellow Walk makes its footwear at its company owned footwear factory in Toronto, Canada.",https://www.mellowwalk.com/faq,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Chaussures de sécurité,Chaussures et bottes de sécurité (CSA),Chaussures de sécurité au travail,"Mellow Walk fabrique ses chaussures dans son usine de chaussures de Toronto, au Canada.",Canada (emplacement non précisé),"Déclaration concernant la propriété sur la page officielle : ""its company owned footwear factory"" (catégorie de propriété non vérifiée)","Mellow Walk provient de nombreux composants de chaussures de fournisseurs en Amérique du Nord, et lorsque cela n'est pas possible en Europe.",Substitut fabriqué au Canada acheté à la place des vêtements et des articles textiles américains figurant sur la liste des droits de douane de rétorsion (les chaussures eux-mêmes ne figurent pas à l'annexe du 8 septembre 2026)
90,"Clothing, footwear and textiles",Womenswear,Miik,Bamboo-blend knit womenswear,"Knit tops, dresses and leggings",Miik clothes are made right here in Canada,"Toronto, Ontario",ownership not verified,Miik works with a supplier in Turkey specifically for its printed fabrics.,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",61.10,"Miik clothes are made right here in Canada (all within 50 km of our Toronto office, actually)",https://www.miik.ca/pages/made-in-canada-clothing,,2026-08-28,High,"Vêtements, chaussures et textiles",Vêtements pour femmes,Vêtements pour femmes en tricot de bambou mélangé,"Hauts, robes et leggings en tricot",Les vêtements Miik sont fabriqués ici au Canada,"Toronto, Ontario",Propriété non vérifiée,Miik travaille avec un fournisseur en Turquie spécifiquement pour ses tissus imprimés.,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
91,"Clothing, footwear and textiles",Casual clothing,Muttonhead,Unisex fleece and outerwear basics,Casual fleece and jackets,manufactured in Toronto,Canada (location not stated),ownership not verified,None stated on fetched official page,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",61.10,we manufacture all of our hoodies in a sweatshop free factory located right here in Toronto.,https://www.mtnhead.com/products/pullover-hoodie-black,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Vêtements décontractés,Vêtements de base unisexes en molleton et vêtements d’extérieur,Molletons et manteaux décontractés,fabriqués à Toronto,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
92,"Clothing, footwear and textiles",Jeans,Naked & Famous Denim,Selvedge raw denim jeans,Everyday jeans,"Made in Canada; Cut, made, and sewn in Canada",Canada (location not stated),ownership not verified,None stated on fetched official page,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",62.03,"We develop crazy things and fabrics no one asked for — but everyone talks about. Cut, made, and sewn in Canada.",https://nakedandfamousdenim.com/,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Jeans,Jeans en denim brut à lisière,Jeans de tous les jours,"Fabriqué au Canada; coupé, fabriqué et cousu au Canada",Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
93,"Clothing, footwear and textiles",Basics and tees,Province of Canada,"T-shirts, hoodies and sweatpants",Everyday casual clothing,100% Made in Canada,Canada (location not stated),ownership not verified,None stated on fetched official page,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",61.09,"all of our T-Shirts, Sweaters, Crewnecks, Hoodies, Sweatpants, Toques, Lapel Pins, Tank-tops, Totes and any other product we dream up will be 100% Made in Canada.",https://provinceofcanada.com/pages/made-in-canada,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Vêtements de base et t-shirts,"T-shirts, kangourous et pantalons molletonnés",Vêtements décontractés de tous les jours,100 % fabriqué au Canada,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
94,"Clothing, footwear and textiles",Winter outerwear,Quartz Co.,Down winter jackets,Winter parkas,Proudly made in our Montreal factory,Canada (location not stated),"Canadian-owned per official page: ""Quartz Co. is proudly Canadian-owned""",None stated on fetched official page,Replaces U.S.-origin outerwear and anoraks (headings 62.01/62.02) under the counter-tariffs,62.01,Our iconic Heritage collection — featuring our most popular winter coats — is proudly made in our Montreal factory.,https://quartz-co.com/,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Vêtements d’extérieur d’hiver,Manteaux d’hiver en duvet,Parkas d’hiver,Fièrement fabriqué dans notre usine de Montréal,Canada (emplacement non précisé),"Propriété canadienne selon la page officielle : ""Quartz Co. is proudly Canadian-owned""",Aucune précision sur la page officielle consultée,Remplace les vêtements et anoraks d’origine américaine (rubriques SH 62.01/62.02) visés par les droits de douane de rétorsion
95,"Clothing, footwear and textiles",Leather goods and sweats,Roots,Made in Canada leather bags and Roots Cabin sweats,Leather bags and heritage sweatshirts,Proudly handcrafted in Canada since 1973,"Toronto, Ontario","Ownership statement on official page: ""Our leather factory has been operated by three generations of the Kowalewski family since its doors first opened."" (ownership category not further verified)",None stated on fetched official page,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",61.10,"Proudly handcrafted in Canada since 1973, the Roots Genuine Leather collection showcases our dedication to quality and craftsmanship.",https://www.roots.com/us/en/made-for-canada.html,,2026-08-28,High,"Vêtements, chaussures et textiles",Articles en cuir et vêtements molletonnés,Sacs en cuir fabriqués au Canada et molletons Roots Cabin,Sacs en cuir et chandails molletonnés classiques,Fièrement fabriqué à la main au Canada depuis 1973,"Toronto, Ontario","Déclaration concernant la propriété sur la page officielle : ""Our leather factory has been operated by three generations of the Kowalewski family since its doors first opened."" (catégorie de propriété non vérifiée)",Aucune précision sur la page officielle consultée,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
96,"Clothing, footwear and textiles",Bedding,St. Geneve,Luxury bedding and duvets,"Sheets, duvets and pillows","Our products are proudly manufactured in British Columbia, Canada.","British Columbia, Canada",ownership not verified,None stated on fetched official page,Replaces U.S.-origin textile goods and made-up textile articles purchased instead of tariffed U.S. imports,n.a.,"Our products are proudly manufactured in British Columbia, Canada.",https://www.stgeneve.com/,,2026-08-28,High,"Vêtements, chaussures et textiles",Literie,Literie et couettes de luxe,"Draps, couettes et oreillers","Nos produits sont fabriqués fièrement en Colombie-Britannique, au Canada.","Colombie-Britannique, Canada",Propriété non vérifiée,Aucune précision sur la page officielle consultée,Remplace les produits textiles d’origine américaine et les articles textiles confectionnés achetés au lieu des importations américaines assujetties aux droits de douane
97,"Clothing, footwear and textiles",Underwear and base layers,Stanfield's,"Made in Canada collection (underwear, base layers, tees)","Underwear, thermal base layers and tees",Made In Canada; designed and stitched right here in Canada,Canada (location not stated),ownership not verified,None stated on fetched official page,"Replaces U.S.-origin apparel covered by the September 8, 2026 counter-tariffs (e.g. T-shirts 61.09, sweaters 61.10, outerwear 62.01/62.02)",61.09,each designed and stitched right here in Canada,https://www.stanfields.com/collections/made-in-canada,,2026-08-28,Medium,"Vêtements, chaussures et textiles",Sous-vêtements et couches de base,"Collection Made in Canada (sous-vêtements, couches de base, t-shirts)","Sous-vêtements, couches de base thermiques et t-shirts",Fabriqué au Canada; conçu et cousu ici même au Canada,Canada (emplacement non précisé),Propriété non vérifiée,Aucune précision sur la page officielle consultée,"Remplace les vêtements d’origine américaine visés par les droits de douane de rétorsion du 8 septembre 2026 (p. ex. T-shirts 61.09, pulls 61.10, vêtements de dessus 62.01/62.02)"
